	City	Cloudiness	Country	Humidity	Max_Temp	Wind_speed	date	lat	lng
87	lompoc	90	US	82	80.6	10.29	1535236500	34.64	-120.46
88	lady frere	8	ZA	22	54.92	11.56	1535238443	-31.7	27.23
89	namatanai	12	PG	98	83.45	2.51	1535238381	-3.66	152.44
90	kapaa	90	US	100	86.0	24.16	1535236920	22.08	-159.32
91	medicine hat	20	CA	32	69.8	7.2	1535234400	50.04	-110.68
92	geraldton	90	CA	82	66.2	5.82	1535234400	49.72	-86.95
93	constitucion	75	MX	28	80.6	8.05	1535233200	23.99	-104.67
94	arcelia	56	MX	76	75.62	2.62	1535238184	18.32	-100.28
95	port elizabeth	1	US	68	78.98	5.82	1535237700	39.31	-74.98
96	rognan	40	NO	93	48.2	6.93	1535233800	67.1	15.4
97	saskylakh	0	RU	90	47.99	5.97	1535238387	71.97	114.09
98	bethel	90	US	80	57.02	9.17	1535233980	60.79	-161.76
99	achit	0	RU	92	51.68	6.2	1535238445	56.8	57.9
100	kruisfontein	0	ZA	77	57.89	15.59	1535238334	-34.0	24.73
101	ribeira grande	0	PT	100	73.82	9.22	1535238337	38.52	-28.7
102	basco	1	US	49	93.2	9.17	1535236500	40.33	-91.2
103	araceli	8	PH	100	83.45	11.56	1535238385	10.55	119.99
104	scandiano	40	IT	100	66.2	3.36	1535235600	44.6	10.69
105	zhangjiakou	36	CN	95	62.39	3.62	1535238446	40.77	114.88
106	sorland	24	NO	100	52.49	19.06	1535238394	67.67	12.69
107	jutai	48	BR	89	75.53	4.18	1535238226	-1.71	-47.89
108	yar-sale	0	RU	100	48.17	19.62	1535238447	66.83	70.83
109	mehamn	88	NO	92	52.49	15.48	1535238380	71.03	27.85
110	ahipara	56	NZ	85	57.53	11.68	1535238270	-35.17	173.16
111	buala	92	SB	92	81.74	5.64	1535238369	-8.15	159.59
112	soledade	36	BR	74	71.84	12.12	1535238448	-7.06	-36.37
113	peniche	0	PT	77	64.4	9.17	1535236200	39.36	-9.38
114	satun	40	TH	100	78.8	3.06	1535236200	6.62	100.07
115	eyl	0	SO	69	77.24	24.65	1535238380	7.98	49.82
116	kilindoni	0	TZ	100	76.07	11.45	1535238448	-7.91	39.67
117	lorengau	12	PG	100	82.64	2.62	1535238449	-2.02	147.27
118	cayenne	0	GF	88	80.6	8.21	1535236200	4.94	-52.33
119	upernavik	92	GL	97	39.35	22.08	1535238449	72.79	-56.15
120	saldanha	0	PT	74	57.26	1.39	1535238343	41.42	-6.55
121	tabuk	92	PH	96	69.95	2.51	1535238373	17.41	121.44
122	vaini	92	IN	98	67.43	6.42	1535238289	15.34	74.49
123	kavieng	24	PG	100	83.0	1.16	1535238450	-2.57	150.8
124	te anau	32	NZ	83	46.91	13.02	1535238369	-45.41	167.72
125	sisimiut	64	GL	90	39.89	2.06	1535238450	66.94	-53.67
126	butaritari	68	KI	100	85.16	6.76	1535238338	3.07	172.79
127	chuy	0	UY	81	45.2	20.29	1535238403	-33.69	-53.46
128	souillac	0	FR	87	59.0	4.52	1535236200	45.6	-0.6
129	jiazi	20	CN	94	78.8	4.47	1535238000	19.61	110.49
130	nanortalik	24	GL	98	39.89	4.52	1535238306	60.14	-45.24
131	nha trang	56	VN	91	80.84	6.42	1535238451	12.24	109.19
132	georgetown	20	GY	78	82.4	11.41	1535234400	6.8	-58.16
133	ulladulla	90	AU	87	51.8	10.29	1535234400	-35.36	150.48
134	dikson	92	RU	100	45.83	14.03	1535238357	73.51	80.55
135	ponta do sol	36	BR	92	63.74	0.38	1535238381	-20.63	-46.0
136	praia	0	BR	56	73.4	5.82	1535234400	-20.25	-43.81
137	kodiak	1	US	52	91.94	6.93	1535237580	39.95	-94.76
138	labytnangi	0	RU	86	39.35	5.41	1535238453	66.66	66.39
139	prichard	1	US	63	89.96	8.05	1535237580	30.74	-88.08
140	mahebourg	75	MU	69	73.4	14.99	1535234400	-20.41	57.7
141	puerto asis	36	CO	92	75.53	1.72	1535238454	0.51	-76.5
142	hofn	48	IS	100	44.39	9.66	1535238376	64.25	-15.21
143	sept-iles	75	CA	64	69.8	9.17	1535234400	50.2	-66.38
144	thompson	90	CA	93	46.4	5.82	1535234400	55.74	-97.86
145	sur	20	OM	91	84.17	4.63	1535238455	22.57	59.53
146	crixas	0	BR	55	74.27	3.06	1535238455	-14.55	-49.97
147	guerrero negro	0	MX	59	78.95	13.13	1535238248	27.97	-114.04
148	yulara	0	AU	51	37.4	5.82	1535234400	-25.24	130.99
149	portland	90	US	48	71.06	4.7	1535237580	45.52	-122.67
150	dwarka	40	IN	88	80.6	3.36	1535236200	28.58	77.04
151	bredasdorp	76	ZA	81	50.0	14.99	1535234400	-34.53	20.04
152	launceston	56	AU	87	44.6	13.87	1535236200	-41.43	147.14
153	codrington	92	AU	100	55.46	3.18	1535238093	-28.95	153.24
154	santa fe	0	AR	55	45.02	3.62	1535238457	-31.62	-60.7
155	san quintin	90	PH	94	77.0	6.93	1535234400	17.54	120.52
156	petropavlovsk-kamchatskiy	64	RU	76	57.2	4.47	1535236200	53.05	158.65
157	palizada	75	MX	74	86.0	13.87	1535233320	18.25	-92.09
158	najran	40	SA	17	86.0	2.62	1535234400	17.54	44.22
159	cacapava do sul	0	BR	66	44.21	10.22	1535238458	-30.51	-53.49
160	port macquarie	90	AU	93	53.6	5.82	1535234400	-31.43	152.91
161	chara	0	GR	78	73.4	3.36	1535233800	39.42	22.43
162	aleksandrov gay	0	RU	84	54.02	3.74	1535238459	50.14	48.57
163	lima	68	PE	64	61.04	2.06	1535238459	-12.06	-77.04
164	jiuquan	92	CN	76	56.09	3.4	1535238277	39.73	98.49
165	huangmei	32	CN	85	80.39	13.58	1535238459	30.1	115.95
166	ixtapa	90	MX	79	86.0	4.7	1535233560	20.71	-105.21
167	ilulissat	75	GL	81	42.8	3.36	1535237400	69.22	-51.1
168	baie-comeau	75	CA	56	75.2	12.75	1535234400	49.22	-68.15
169	divnoye	12	RU	61	67.43	10.67	1535238460	45.91	43.34
170	baykit	36	RU	92	48.53	3.06	1535238461	61.68	96.39
171	faya	0	SA	47	75.2	5.19	1535234400	18.39	42.45
172	saint-joseph	75	FR	40	77.0	3.36	1535236200	43.56	6.97
173	qaanaaq	0	GL	92	37.19	7.76	1535238367	77.48	-69.36
174	longyearbyen	40	NO	69	37.4	14.99	1535233800	78.22	15.63
175	cabo san lucas	20	MX	58	89.6	10.29	1535233680	22.89	-109.91
176	tuktoyaktuk	40	CA	66	51.8	4.7	1535234400	69.44	-133.03
177	homer	90	US	89	53.96	9.55	1535236620	59.64	-151.54
178	dudinka	64	RU	98	54.83	4.07	1535238373	69.41	86.18
179	karlstad	88	SE	100	44.6	6.2	1535235600	59.38	13.5
180	mogadishu	80	SO	100	76.52	19.51	1535238463	2.04	45.34
181	nhulunbuy	40	AU	88	75.2	4.7	1535236200	-12.18	136.78
182	margate	75	AU	61	48.2	13.87	1535236200	-43.03	147.26
183	inhambane	0	MZ	100	68.42	9.22	1535238463	-23.87	35.38
184	hede	0	SE	100	46.4	2.24	1535235600	60.45	15.49
185	kropotkin	36	RU	47	76.34	11.45	1535238464	45.43	40.58
186	brindisi	0	IT	83	75.2	6.93	1535235600	40.63	17.94
187	darnah	0	LY	97	81.2	18.28	1535238464	32.77	22.64
188	yumen	92	CN	48	63.2	7.65	1535238464	40.29	97.04
189	ludvika	80	SE	100	46.4	2.24	1535235600	60.15	15.18
190	neepawa	40	CA	37	69.8	12.75	1535234400	50.23	-99.46
191	udachnyy	12	RU	86	49.25	3.18	1535238465	66.42	112.4
192	moron	75	VE	69	82.4	2.73	1535234400	10.49	-68.2
193	gloversville	1	US	53	77.0	6.93	1535237580	43.05	-74.34
194	honiara	75	SB	88	78.8	6.93	1535234400	-9.43	159.96
195	ottawa	90	CA	57	77.0	6.93	1535234400	45.42	-75.69
196	mwinilunga	0	ZM	72	57.53	2.39	1535238466	-11.73	24.43
197	wufeng	75	TW	88	84.2	1.72	1535238000	24.63	121.12
198	tual	48	ID	99	79.04	9.66	1535238467	-5.67	132.75
199	bandarbeyla	32	SO	87	77.24	30.58	1535238467	9.49	50.81
200	tumsar	100	IN	96	73.91	9.44	1535238467	21.38	79.75
201	meulaboh	48	ID	100	78.86	3.74	1535238387	4.14	96.13
202	cidreira	32	BR	75	50.33	15.82	1535238337	-30.17	-50.22
203	provideniya	56	RU	95	47.81	12.01	1535238468	64.42	-173.23
204	palu	36	ID	86	69.05	1.95	1535238468	-0.9	119.87
205	avera	1	US	41	89.06	5.82	1535236500	33.19	-82.53
206	port-gentil	40	GA	83	77.0	9.17	1535234400	-0.72	8.78
207	turtas	48	RU	73	60.41	7.43	1535238468	58.94	69.13
208	ostrovnoy	80	RU	70	62.39	17.6	1535238366	68.05	39.51
209	karatau	0	KZ	81	42.95	1.05	1535238469	43.18	70.46
210	wanning	75	AT	93	53.6	3.36	1535235600	48.64	13.53
211	ulundi	0	ZA	50	57.89	5.97	1535238469	-28.29	31.43
212	gravdal	80	NO	71	53.6	16.11	1535235600	59.79	5.78
213	verkhnevilyuysk	0	RU	76	55.1	3.4	1535238470	63.45	120.31
214	cherskiy	88	RU	85	37.91	7.43	1535238297	68.75	161.3
215	changqing	90	CN	94	75.2	8.95	1535238000	31.81	117.24
216	parrita	75	CR	73	69.8	2.24	1535234400	9.52	-84.33
217	harper	1	US	25	96.98	10.29	1535237700	30.3	-99.24
218	antofagasta	75	CL	76	55.4	4.7	1535238000	-23.65	-70.4
219	vanimo	80	PG	100	77.78	5.75	1535238376	-2.67	141.3
220	chicama	0	PE	82	64.4	9.17	1535234400	-7.84	-79.15
221	marzuq	20	YE	39	67.25	1.05	1535238290	14.4	46.47
222	chapais	90	CA	60	71.6	6.93	1535234400	49.78	-74.86
223	saint-pierre	0	FR	71	50.0	1.12	1535236200	48.95	4.24
224	fairbanks	90	US	82	59.0	5.82	1535235420	64.84	-147.72
225	carutapera	0	BR	81	79.13	7.65	1535238350	-1.2	-46.02
226	hualmay	20	PE	88	60.41	4.52	1535238473	-11.1	-77.61
227	lata	100	IN	100	56.63	1.95	1535238371	30.78	78.62
228	sale	68	GB	93	53.6	2.24	1535237400	53.42	-2.32
229	sawtell	75	AU	87	59.0	3.36	1535236200	-30.38	153.1
230	tiksi	0	RU	99	46.82	3.06	1535238364	71.64	128.87
